hgnc_symbol	agilent_cgh_44b
HLA-L	
CCDC166	
ZNF707	
MTND1P12	
STSP1	
CTBP2P1	
MTND6P1	
DLGAP5P1	
CDC27P2	
TTTY8B	
PABPC1P5	
TSPY22P	
RCC2P1	
SHROOM2P1	
TTTY2	
USP9YP22	
TTTY18	
DNAJA3	A_14_P138296
DNAJA3	
RBMY2QP	
DUX4L18	
TSPY16P	
RBMY2BP	
RBMY2GP	
ZNF736P11Y	
OFD1P9Y	
BPY2DP	
RBMY2JP	
CHEK2P1	
RBMY2UP	
FAM224B	
ZNF886P	
HTATSF1P1	
ELOCP8	
OFD1P16Y	
TTTY25P	
FAM197Y1	
ASS1P6	
SNX18P1Y	
RBMY2NP	
TTTY1	
USP9YP4	
MED14P1	
HSFY5P	
ZNF885P	
ARSFP1	
ZNF736P7Y	
SURF6P1	
XGY1	
ANKRD20A6P	
TTTY8	
SAR1AP1	
ABCF1	
RBMY2KP	
TSPY21P	
TTTY19	
TSPY17P	
TTTY4	
TSPY15P	
ELOCP4	
TTTY23B	
TTTY22	
TSPY11P	
MXRA5Y	
DUX4L16	
TSPY10	
PLA2G10	
CFB	A_14_P116860
CFB	
MTCYBP1	
USP9YP17	
TTTY17A	
AGPAT5P1	
TSPY20P	
FAM41AY1	
TTTY6B	
ELOCP15	
FAM197Y4	
TRIM60P3Y	
MTND1P1	
LINC00280	
PRRC2CP1	
TSPY5P	
ZNF736P10Y	
TSPY1	
RPL23AP1	
GTF2H4	
CDIP1	
CDY12P	
MTND2P3	
TIGD5	A_14_P129761
CDY13P	
RBMY1KP	
TTTY11	
ZNF623	
TTTY21B	
	A_14_P105957
ARSDP1	
TTTY5	
